host,service,pool,pid,tid,thread_name,affinity,current_cpu,runtime_sec,wait_sec,elapsed_sec,cpu_pct,runqueue_wait_pct,runnable_pct
adfe100,FCGIActionServer,bid-request,2089,3166,bid-request:c56,56,56,0.367939341,3.68834764,600.004630784,0.06132275021264913,0.6147198622751622,0.6760426124878113
adfe100,FCGIActionServer,bid-request,2089,3167,bid-request:c23,23,23,0.366278679,5.773631477,600.004630784,0.06104597534879015,0.96226448610169,1.02331046145048
adfe100,FCGIActionServer,bid-request,2089,3168,bid-request:c14,14,14,0.513443597,6.450394486,600.004630784,0.08557327238109905,1.0750574504019326,1.1606307227830317
adfe100,FCGIActionServer,bid-request,2089,3169,bid-request:c67,67,67,0.374587458,1.850982604,600.004630784,0.06243076116105018,0.30849471971264647,0.37092548087369664
adfe100,FCGIActionServer,bid-request,2089,3170,bid-request:c55,55,55,0.357350205,5.008538089,600.004630784,0.05955790783365555,0.8347499055891553,0.8943078134228108
adfe100,FCGIActionServer,bid-request,2089,3171,bid-request:c70,70,70,0.368646065,2.263888776,600.004630784,0.06144053663690999,0.3773118839169416,0.43875242055385155
adfe100,FCGIActionServer,bid-request,2089,3172,bid-request:c25,25,25,0.353516454,6.686322736,600.004630784,0.05891895426508215,1.1143785219229512,1.1732974761880333
adfe100,FCGIActionServer,bid-request,2089,3173,bid-request:c9,9,9,0.52051134,4.609760069,600.004630784,0.08675122045639388,0.7682874152115504,0.8550386356679442
adfe100,FCGIActionServer,bid-request,2089,3174,bid-request:c17,17,17,0.491072913,4.84282831,600.004630784,0.08184485382360072,0.8071318222447861,0.8889766760683868
adfe100,FCGIActionServer,bid-request,2089,3175,bid-request:c40,40,40,0.510627677,2.703160627,600.004630784,0.08510395600327034,0.4505232940398972,0.5356272500431676
adfe100,FCGIActionServer,bid-request,2089,3176,bid-request:c19,19,19,0.382675322,2.317156948,600.004630784,0.0637787280908107,0.38618984406374857,0.4499685721545593
adfe100,FCGIActionServer,bid-request,2089,3177,bid-request:c1,1,1,0.480560427,4.259040156,600.004630784,0.08009278634601079,0.7098345475158911,0.789927333861902
adfe100,FCGIActionServer,bid-request,2089,3178,bid-request:c13,13,13,0.526059173,6.3612417,600.004630784,0.08767585215344444,1.060198767414185,1.1478746195676295
adfe100,FCGIActionServer,bid-request,2089,3179,bid-request:c63,63,63,0.367623098,4.25078947,600.004630784,0.06127004345277183,0.7084594437955717,0.7697294872483436
adfe100,FCGIActionServer,bid-request,2089,3180,bid-request:c35,35,35,0.354060138,4.745374654,600.004630784,0.059009567565731114,0.7908896716012717,0.8498992391670028
adfe100,FCGIActionServer,bid-request,2089,3181,bid-request:c44,44,44,0.487994772,3.423702274,600.004630784,0.08133183428307185,0.5706126416935144,0.6519444759765862
adfe100,FCGIActionServer,bid-request,2089,3182,bid-request:c64,64,64,0.37918408,3.595219093,600.004630784,0.06319685891499481,0.599198557568178,0.6623954164831728
adfe100,FCGIActionServer,bid-request,2089,3183,bid-request:c50,50,50,0.504285365,3.490894545,600.004630784,0.08404691216150652,0.5818112670961555,0.665858179257662
adfe100,FCGIActionServer,bid-request,2089,3184,bid-request:c10,10,10,0.496191934,5.365918064,600.004630784,0.08269801740557362,0.8943127750511838,0.9770107924567574
adfe100,FCGIActionServer,bid-request,2089,3185,bid-request:c12,12,12,0.528611628,4.970205165,600.004630784,0.08810125803683984,0.8283611342308557,0.9164623922676954
adfe100,FCGIActionServer,bid-request,2089,3186,bid-request:c6,6,6,0.50680843,4.498576958,600.004630784,0.08446741974937351,0.7497570397284943,0.8342244594778678
adfe100,FCGIActionServer,bid-request,2089,3187,bid-request:c68,68,68,0.386415321,1.577813889,600.004630784,0.06440205644664573,0.26296695192807745,0.3273690083747232
adfe100,FCGIActionServer,bid-request,2089,3188,bid-request:c11,11,11,0.504527217,5.882690014,600.004630784,0.08408722051707437,0.9804407686509593,1.0645279891680337
adfe100,FCGIActionServer,bid-request,2089,3189,bid-request:c28,28,28,0.337879463,5.816410485,600.004630784,0.056312809212573506,0.9693942657409075,1.0257070749534811
adfe100,FCGIActionServer,bid-request,2089,3190,bid-request:c61,61,61,0.372575677,3.245666058,600.004630784,0.06209546691550889,0.5409401680382081,0.603035634953717
adfe100,FCGIActionServer,bid-request,2089,3191,bid-request:c66,66,66,0.371074442,3.9221019,600.004630784,0.061845263013242606,0.6536786049259586,0.7155238679392012
adfe100,FCGIActionServer,bid-request,2089,3192,bid-request:c51,51,51,0.495481553,3.976214902,600.004630784,0.08257962148601683,0.6626973689860448,0.7452769904720615
adfe100,FCGIActionServer,bid-request,2089,3193,bid-request:c53,53,53,0.510857096,6.783139963,600.004630784,0.08514219220816432,1.1305146018851164,1.2156567940932808
